name,abbreviation,description
Pannier,eget,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa
Transcof,erat,id massa id nisl venenatis lacinia aenean sit amet justo morbi
Cardify,magnis,rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet
Namfix,ante,nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a
Wrapsafe,lorem,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras
Tresom,primis,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel
Konklab,commodo,vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut
Zoolab,eget,congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum
Voyatouch,nulla,dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
Rank,faucibus,amet justo morbi ut odio cras mi pede malesuada in imperdiet
Biodex,tempor,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi
Home Ing,dignissim,nam dui proin leo odio porttitor id consequat in consequat ut nulla
Bamity,lacus,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien
Sonsing,ipsum,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero
Matsoft,orci,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget
Viva,fusce,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices
Greenlam,faucibus,dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante
Subin,metus,purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio
Fix San,vulputate,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas
Ronstring,ultrices,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus
Bytecard,tincidunt,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc
Transcof,primis,tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec
Holdlamis,non,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst
Stim,aenean,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non
Konklab,pellentesque,cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi
Bigtax,non,ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue
Duobam,massa,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut
Fix San,ante,mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula
Stronghold,rhoncus,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci
Cardguard,et,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
Konklab,potenti,cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam
Transcof,nullam,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum
Greenlam,augue,turpis a pede posuere nonummy integer non velit donec diam
Vagram,id,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget
Domainer,maecenas,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue
Sonsing,vestibulum,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet
Rank,erat,porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed
Namfix,morbi,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis
Fintone,tellus,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci
Bytecard,fermentum,lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at
Bytecard,sit,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat
Latlux,pede,blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac
Tin,dapibus,felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis
Prodder,id,turpis enim blandit mi in porttitor pede justo eu massa donec
Mat Lam Tam,ut,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget
Y-find,amet,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam
Overhold,quisque,pede lobortis ligula sit amet eleifend pede libero quis orci
Subin,tellus,neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales
Y-find,sapien,varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
Holdlamis,vulputate,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed
Redhold,est,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum
Solarbreeze,nonummy,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit
Stim,nec,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet
Zathin,felis,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo
Regrant,dui,purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at
Sonsing,turpis,amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate
Lotstring,quam,quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh
Stronghold,viverra,et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien
Andalax,ut,vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien
Solarbreeze,nulla,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique
Lotstring,sit,congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam
Veribet,vivamus,phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu
Bamity,sed,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus
Opela,turpis,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget
Treeflex,amet,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante
Tempsoft,morbi,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui
Bigtax,felis,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer
Voyatouch,turpis,eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia
Y-find,ut,in libero ut massa volutpat convallis morbi odio odio elementum
Regrant,sollicitudin,blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent
Aerified,odio,in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc
Cookley,morbi,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in
Zontrax,nisl,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis
Tres-Zap,est,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus
Tin,mattis,quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
Bigtax,quisque,praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem
Lotlux,tellus,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus
Zathin,erat,condimentum curabitur in libero ut massa volutpat convallis morbi odio
Latlux,aenean,lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla
Voltsillam,sit,nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget
Pannier,ullamcorper,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non
Matsoft,curae,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae
Gembucket,duis,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo
Zoolab,pede,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi
Kanlam,eget,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu
Stim,massa,ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla
Tresom,proin,cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend
Zathin,sit,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst
Stronghold,tellus,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in
Stronghold,at,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam
Aerified,sit,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis
Lotstring,vel,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus
Keylex,dui,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut
Namfix,sollicitudin,rutrum ac lobortis vel dapibus at diam nam tristique tortor eu
Domainer,accumsan,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt
Ronstring,elit,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia
Tin,sem,libero ut massa volutpat convallis morbi odio odio elementum eu
Cardguard,urna,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum
Toughjoyfax,est,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis
Trippledex,sed,in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non
Tres-Zap,luctus,primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor
Aerified,malesuada,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi
Transcof,vel,pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam
Ronstring,vulputate,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta
Voyatouch,est,vivamus in felis eu sapien cursus vestibulum proin eu mi
Home Ing,libero,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis
Domainer,at,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante
Quo Lux,vivamus,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit
Bitchip,diam,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis
Tempsoft,at,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum
Otcom,justo,pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac
Rank,eget,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed
Cardify,sapien,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque
Temp,turpis,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla
Cardguard,sociis,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue
It,hac,sodales sed tincidunt eu felis fusce posuere felis sed lacus
Mat Lam Tam,in,congue elementum in hac habitasse platea dictumst morbi vestibulum velit id
Daltfresh,nunc,congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus
Latlux,interdum,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam
Tampflex,ac,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam
Viva,aliquet,at turpis a pede posuere nonummy integer non velit donec diam neque
Ventosanzap,sem,odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi
Overhold,pretium,convallis morbi odio odio elementum eu interdum eu tincidunt in
Asoka,vel,vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus
Stringtough,phasellus,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis
Home Ing,id,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo
Wrapsafe,adipiscing,non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede
Daltfresh,blandit,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut
Bytecard,diam,et ultrices posuere cubilia curae nulla dapibus dolor vel est
Quo Lux,dapibus,suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis
Flowdesk,erat,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci
Lotlux,eros,elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit
Konklab,nisl,id ligula suspendisse ornare consequat lectus in est risus auctor sed
Konklab,cum,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat
Hatity,sed,ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam
Zontrax,orci,aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non
Domainer,diam,ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in
Zathin,vestibulum,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam
Aerified,elit,lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam
Stim,mattis,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices
Redhold,morbi,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean
Quo Lux,id,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam
Prodder,sed,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc
Transcof,in,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet
Trippledex,lectus,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec
Lotstring,ante,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum
Veribet,magna,gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio
Asoka,justo,tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum
Job,sollicitudin,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean
Sonsing,libero,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante
Stringtough,semper,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu
Kanlam,natoque,suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl
Home Ing,leo,orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis
Cardify,eget,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra
Zaam-Dox,in,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut
Tempsoft,aliquet,porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo
Zathin,in,odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac
Viva,lacinia,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula
Bamity,at,neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis
Lotstring,nibh,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo
Tres-Zap,ultrices,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in
Regrant,diam,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien
Ventosanzap,magnis,ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse
Overhold,pede,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa
Voltsillam,faucibus,lacus at velit vivamus vel nulla eget eros elementum pellentesque
Stim,sapien,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa
Cardify,congue,suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes
Sub-Ex,turpis,id ligula suspendisse ornare consequat lectus in est risus auctor
Lotlux,sapien,massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis
Viva,mi,ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec
Bitwolf,sed,sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc
Redhold,porta,vehicula consequat morbi a ipsum integer a nibh in quis justo
Zoolab,aliquet,duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend
Zamit,a,orci vehicula condimentum curabitur in libero ut massa volutpat convallis
Gembucket,odio,dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat
Toughjoyfax,aliquet,proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius
Zaam-Dox,amet,consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer
Cardify,venenatis,potenti in eleifend quam a odio in hac habitasse platea
Matsoft,sollicitudin,proin risus praesent lectus vestibulum quam sapien varius ut blandit
Vagram,aliquam,donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan
Matsoft,vitae,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea
Alphazap,interdum,nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor
Matsoft,eu,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis
Toughjoyfax,amet,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci
Fixflex,eu,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
It,luctus,quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie
Voltsillam,tempus,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula
Stronghold,phasellus,nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam
Fintone,suspendisse,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel
